Start Hardware Leakage Evaluation

Library file:   library.lib
Library name:   NANG45
Design file:    design.v
Module name:    circuit
Linker file:    linker.ld
Settings file:  config.set
Result folder:  .

Read library file...done!
Read design file..."circuit"...done!
Make circuit depth...done!
Read settings file...done with 5 warnings!
    Warning "remove_full_probing_sets" is not specified. Default "remove_full_probing_sets" = no is taken!
    Warning "max_distance_multivariate" is not specified. Default "max_distance_multivariate" = 10 is taken!
    Warning "no_of_probing_sets_per_step" is not specified. Default "no_of_probing_sets_per_step" = all is taken!
    Warning "no_of_outputs" is not specified. Default "no_of_outputs" = 0 is taken!
    Warning "waveform_simulation" is not specified. Default "waveform_simulation" = false is taken!
Construct probes...done!
Prepare simulation memory...done!
Prepare shared data for 48 threads ...done!

Generate list of standard probes from 175 standard probe locations...700 standard probes found...done!
Generate list of extended probes from 108 extended probe locations...4000 extended probes found...done!
Generate univariate probing sets...done (last step)! 700 probing sets generated!
Extend all probing sets...done!
Remove duplicated probes in the sets...done!
Remove duplicated probing sets...done! 376 probing sets remain!
Remove subsets of probing sets...Setting univariate case...done! 356 probing sets remain!
----------------------------------------------------------------------------------------------------------------------------------
| #Standard Probes | #Extended Probes | Security Order | Distance | #Entries in Report | #Probing Sets | Maximum #Probes per Set |
----------------------------------------------------------------------------------------------------------------------------------
|              700 |              432 |              1 |       10 |                236 |           356 |                      32 |
----------------------------------------------------------------------------------------------------------------------------------

Evaluate security under the robust probing model!
----------------------------------------------------------------------------------------------------------------------------------------
|      Elapsed Time |      Required Ram |  Processed Simulations | Probing Set with highest Information Leakage |  -log10(p) |  Status |
|         9.926932s |        3.840112GB |        430080 / 793313 |                          RegIn_instX_n49 (4) |   3.238129 |    OKAY |
|        10.314369s |        3.864688GB |        440320 / 802489 |                          RegIn_instX_n35 (4) |   3.264897 |    OKAY |
|        10.677144s |        3.864688GB |        450560 / 811559 |                          RegIn_instX_n35 (4) |   3.507780 |    OKAY |
|        11.062588s |        3.864688GB |        460800 / 820539 |                          RegIn_instX_n35 (4) |   3.533196 |    OKAY |
|        11.435591s |        3.864688GB |        471040 / 829429 |                          RegIn_instX_n35 (4) |   3.220671 |    OKAY |
|        11.896652s |        3.864688GB |        481280 / 838209 |                          RegIn_instX_n35 (4) |   2.930405 |    OKAY |
|        12.264593s |        3.864688GB |        491520 / 846877 |                          RegIn_instX_n35 (4) |   2.747266 |    OKAY |
|        12.598020s |        3.883120GB |        501760 / 855455 |                          RegIn_instX_n35 (4) |   2.618751 |    OKAY |
|        12.913627s |        3.883120GB |        512000 / 863931 |                          RegIn_instX_n35 (4) |   2.691847 |    OKAY |
|        13.333532s |        3.883120GB |        522240 / 872347 |                          RegIn_instX_n35 (4) |   3.090011 |    OKAY |
|        13.671010s |        3.883120GB |        532480 / 880657 |                          RegIn_instX_n35 (4) |   3.060829 |    OKAY |
|        14.031861s |        3.901604GB |        542720 / 888893 |                          RegIn_instX_n35 (4) |   3.020517 |    OKAY |
|        14.471149s |        3.901604GB |        552960 / 897051 |                          RegIn_instX_n35 (4) |   3.304804 |    OKAY |
|        14.934045s |        3.967140GB |        563200 / 905115 |                          RegIn_instX_n35 (4) |   3.197931 |    OKAY |
|        15.303244s |        3.967140GB |        573440 / 913097 |                          RegIn_instX_n35 (4) |   3.191144 |    OKAY |
|        15.744983s |        3.967140GB |        583680 / 921003 |                          RegIn_instX_n35 (4) |   3.114518 |    OKAY |
|        16.213575s |        3.967140GB |        593920 / 928821 |                          RegIn_instX_n35 (4) |   3.187384 |    OKAY |
|        16.593836s |        3.967140GB |        604160 / 936601 |                          RegIn_instX_n35 (4) |   3.149535 |    OKAY |
|        17.081713s |        3.967140GB |        614400 / 944295 |                          RegIn_instX_n35 (4) |   3.275555 |    OKAY |
|        17.575026s |        3.967140GB |        624640 / 951927 |                          RegIn_instX_n35 (4) |   2.901918 |    OKAY |
|        18.074071s |        3.985572GB |        634880 / 959521 |                          RegIn_instX_n35 (4) |   2.828471 |    OKAY |
|        18.502757s |        4.007072GB |        645120 / 967037 |                          RegIn_instX_n35 (4) |   2.933268 |    OKAY |
|        18.991495s |        4.007072GB |        655360 / 974479 |                          RegIn_instX_n35 (4) |   2.827369 |    OKAY |
|        19.530564s |        4.007072GB |        665600 / 981865 |                          RegIn_instX_n35 (4) |   2.686129 |    OKAY |
|        19.912917s |        4.007072GB |        675840 / 989201 |                          RegIn_instX_n49 (4) |   2.583360 |    OKAY |
|        20.417767s |        4.007072GB |        686080 / 996469 |                          RegIn_instX_n49 (4) |   2.558858 |    OKAY |
|        20.820440s |        4.007072GB |       696320 / 1003677 |                          RegIn_instX_n35 (4) |   2.415364 |    OKAY |
|        21.236546s |        4.007728GB |       706560 / 1010839 |                          RegIn_instX_n35 (4) |   2.766583 |    OKAY |
|        21.770507s |        4.007728GB |       716800 / 1017939 |                          RegIn_instX_n35 (4) |   2.719468 |    OKAY |
|        22.229183s |        4.007860GB |       727040 / 1024959 |                          RegIn_instX_n35 (4) |   3.129048 |    OKAY |
|        22.771886s |        4.008256GB |       737280 / 1031925 |                          RegIn_instX_n35 (4) |   3.187552 |    OKAY |
|        23.228545s |        4.008520GB |       747520 / 1038825 |                          RegIn_instX_n35 (4) |   3.038130 |    OKAY |
|        23.670902s |        4.008520GB |       757760 / 1045725 |                          RegIn_instX_n35 (4) |   2.897911 |    OKAY |
|        24.165094s |        4.008520GB |       768000 / 1052561 |                          RegIn_instX_n35 (4) |   2.729139 |    OKAY |
|        24.588595s |        4.008520GB |       778240 / 1059349 |                          RegIn_instX_n35 (4) |   2.943248 |    OKAY |
|        25.025377s |        4.009968GB |       788480 / 1066085 |                          RegIn_instX_n35 (4) |   2.921110 |    OKAY |
|        25.455434s |        4.009968GB |       798720 / 1072783 |                          RegIn_instX_n35 (4) |   2.896603 |    OKAY |
|        25.963126s |        4.009968GB |       808960 / 1079435 |                          RegIn_instX_n35 (4) |   3.021694 |    OKAY |
|        26.411338s |        4.010232GB |       819200 / 1086029 |                          RegIn_instX_n35 (4) |   2.828695 |    OKAY |
|        26.860161s |        4.010232GB |       829440 / 1092587 |                          RegIn_instX_n35 (4) |   2.895215 |    OKAY |
|        27.328961s |        4.029604GB |       839680 / 1099097 |                          RegIn_instX_n35 (4) |   2.639573 |    OKAY |
|        27.792459s |        4.054460GB |       849920 / 1105595 |                          RegIn_instX_n35 (4) |   3.099481 |    OKAY |
|        28.283119s |        4.055384GB |       860160 / 1112027 |                          RegIn_instX_n35 (4) |   3.453670 |    OKAY |
|        28.813553s |        4.092248GB |       870400 / 1118385 |                          RegIn_instX_n35 (4) |   3.616309 |    OKAY |
|        29.317448s |        4.092512GB |       880640 / 1124721 |                          RegIn_instX_n35 (4) |   3.587185 |    OKAY |
|        29.803369s |        4.093304GB |       890880 / 1131041 |                          RegIn_instX_n35 (4) |   3.772525 |    OKAY |
|        30.344644s |        4.093304GB |       901120 / 1137291 |                          RegIn_instX_n35 (4) |   3.882003 |    OKAY |
|        30.867251s |        4.093304GB |       911360 / 1143523 |                          RegIn_instX_n35 (4) |   3.829281 |    OKAY |
|        31.444298s |        4.093304GB |       921600 / 1149697 |                          RegIn_instX_n35 (4) |   3.905618 |    OKAY |
|        31.956019s |        4.093304GB |       931840 / 1155861 |                          RegIn_instX_n35 (4) |   3.883122 |    OKAY |
|        32.471252s |        4.093436GB |       942080 / 1162001 |                          RegIn_instX_n35 (4) |   3.911934 |    OKAY |
|        33.031002s |        4.093436GB |       952320 / 1168103 |                          RegIn_instX_n35 (4) |   4.069216 |    OKAY |
|        33.568161s |        4.093436GB |       962560 / 1174161 |                          RegIn_instX_n35 (4) |   4.078732 |    OKAY |
|        34.108603s |        4.094888GB |       972800 / 1180201 |                          RegIn_instX_n35 (4) |   4.215004 |    OKAY |
|        34.675090s |        4.094888GB |       983040 / 1186189 |                          RegIn_instX_n35 (4) |   4.314112 |    OKAY |
|        35.228870s |        4.094888GB |       993280 / 1192143 |                          RegIn_instX_n35 (4) |   4.128117 |    OKAY |
|        35.814737s |        4.119464GB |      1003520 / 1198051 |                          RegIn_instX_n35 (4) |   4.127464 |    OKAY |
|        36.378127s |        4.119464GB |      1013760 / 1203947 |                          RegIn_instX_n35 (4) |   4.105465 |    OKAY |
|        36.941031s |        4.185400GB |      1024000 / 1209797 |                          RegIn_instX_n35 (4) |   3.935511 |    OKAY |
|        37.497476s |        4.189404GB |      1034240 / 1215633 |                          RegIn_instX_n35 (4) |   3.908705 |    OKAY |
|        38.057125s |        4.254940GB |      1044480 / 1221411 |                          RegIn_instX_n35 (4) |   4.163207 |    OKAY |
|        38.708611s |        4.392692GB |      1054720 / 1227165 |                          RegIn_instX_n35 (4) |   4.141849 |    OKAY |
|        39.292793s |        4.593436GB |      1064960 / 1232897 |                          RegIn_instX_n35 (4) |   3.766612 |    OKAY |
|        39.879778s |        4.986652GB |      1075200 / 1238583 |                          RegIn_instX_n35 (4) |   3.859920 |    OKAY |
|        40.477844s |        4.986652GB |      1085440 / 1244265 |                          RegIn_instX_n35 (4) |   3.691789 |    OKAY |
|        41.062420s |        5.052188GB |      1095680 / 1249925 |                          RegIn_instX_n35 (4) |   3.884074 |    OKAY |
|        41.656637s |        5.052188GB |      1105920 / 1255551 |                          RegIn_instX_n35 (4) |   4.110722 |    OKAY |
|        42.342678s |        5.052188GB |      1116160 / 1261155 |                          RegIn_instX_n35 (4) |   4.132758 |    OKAY |
